,City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temp (F),Win Speed (mph)
51,Ketchikan,1,US,1514094960,85,55.34,-131.65,30.2,3.36
52,Tual,36,ID,1514096444,100,-5.67,132.75,81.78,2.3
53,Palmer,1,US,1514094960,49,61.6,-149.11,28.4,17.22
54,San Luis,0,AR,1514096223,32,-33.3,-66.34,64.41,10.13
55,Pochutla,5,MX,1514094000,78,15.74,-96.47,77.0,3.36
56,Iqaluit,75,CA,1514095200,69,63.75,-68.52,-13.01,4.7
57,Ancud,88,CL,1514096391,90,-41.87,-73.83,49.74,5.28
58,Bilma,12,NE,1514096477,56,18.69,12.92,50.37,16.06
59,Nova Olimpia,48,BR,1514096477,95,-14.8,-57.29,73.36,5.55
60,Ko Samui,20,TH,1514093400,66,9.54,99.94,89.6,8.05
61,Kesinga,0,IN,1514096478,60,20.19,83.22,78.9,4.27
62,Alofi,92,NU,1514091600,78,-19.06,-169.92,77.0,3.36
63,Kodinsk,32,RU,1514096479,65,58.6,99.18,-0.17,3.49
64,Alabaster,90,US,1514094780,87,33.24,-86.82,48.2,8.05
65,Sisimiut,68,GL,1514096479,100,66.94,-53.67,3.03,1.52
66,Lensk,48,RU,1514096480,49,60.71,114.91,-17.27,3.49
67,Emborion,40,GR,1514094600,64,40.48,21.55,33.8,9.17
68,Antofagasta,20,CL,1514091600,77,-23.65,-70.4,64.4,14.99
69,Conceicao da Barra,76,BR,1514096482,100,-18.59,-39.73,76.47,9.57
70,Inhambane,75,MZ,1514095200,79,-23.87,35.38,84.2,4.83
71,Tongchuan,0,CN,1514091600,19,34.9,108.95,48.2,6.71
72,Umm Kaddadah,0,SD,1514096483,37,13.6,26.69,61.35,11.65
73,Russell,92,NZ,1514096483,88,-35.26,174.12,64.63,9.53
74,Coquimbo,0,CL,1514091600,87,-29.95,-71.34,57.2,6.78
75,Colchester,90,CA,1514095200,68,41.99,-82.93,28.4,12.75
76,College,1,US,1514095080,76,64.86,-147.8,-11.21,10.65
77,Agirish,76,RU,1514096485,76,61.92,63.02,18.96,7.85
78,Yamethin,0,MM,1514096485,63,20.43,96.14,78.45,6.73
79,Alfonso,40,PH,1514091600,55,14.14,120.86,89.6,12.75
80,Nata,80,BW,1514096486,100,-20.21,26.19,68.23,4.72
81,Tynda,20,RU,1514096486,60,55.15,124.74,-14.3,3.76
82,Nishihara,1,JP,1514094960,43,35.74,139.53,51.8,3.36
83,San Cristobal,100,EC,1514096487,100,-1.02,-79.44,61.26,1.97
84,Nefteyugansk,90,RU,1514093400,85,61.09,72.61,17.6,11.18
85,Chapais,90,CA,1514091600,84,49.78,-74.86,6.8,8.05
86,Hasaki,75,JP,1514093400,75,35.73,140.83,44.6,21.16
87,Dhari,0,IN,1514096489,40,21.33,71.03,80.25,5.77
88,Huilong,64,CN,1514096489,100,31.15,106.5,46.23,1.86
89,Inuvik,5,CA,1514095200,66,68.36,-133.71,12.2,10.29
90,Fort Nelson,5,CA,1514095200,91,58.81,-122.69,-5.81,3.36
91,Kuybyshevskiy Zaton,90,RU,1514093400,92,55.16,49.17,21.2,13.42
92,Boyolangu,12,ID,1514096491,57,-8.09,111.9,88.8,8.86
93,Klaksvik,100,FO,1514094600,100,62.23,-6.59,41.0,12.75
94,Emirdag,76,TR,1514096492,94,39.02,31.15,26.38,8.12
95,Dhidhdhoo,0,MV,1514096492,100,6.88,73.1,82.0,8.86
96,Vagur,24,FO,1514096493,98,61.47,-6.81,46.68,27.47
97,Wilmington,1,US,1514094900,75,39.75,-75.55,42.8,21.92
98,Acari,36,PE,1514096493,88,-15.44,-74.62,52.35,1.86
99,Vanimo,0,PG,1514096494,100,-2.67,141.3,84.3,7.63
100,Vardo,12,NO,1514096495,100,70.37,31.11,24.31,9.13
101,Verkhniy Landekh,88,RU,1514096495,88,56.84,42.6,20.4,22.17
102,Adrar,0,DZ,1514095200,51,27.87,-0.29,37.4,8.05
103,Kargasok,68,RU,1514096496,79,59.06,80.87,15.9,6.78
104,Narrabri,32,AU,1514096496,31,-30.33,149.78,94.74,6.85
105,Kandrian,80,PG,1514096496,100,-6.21,149.55,77.55,1.86
106,Sambava,88,MG,1514096497,100,-14.27,50.17,77.05,2.98
107,Souillac,75,MU,1514091600,74,-20.52,57.52,82.4,8.05
108,Bafq,20,IR,1514096498,35,31.6,55.4,57.57,3.71
109,Cockburn Town,44,TC,1514096528,100,21.46,-71.14,78.27,15.95
110,Boa Vista,0,BR,1514091600,65,2.82,-60.67,80.6,10.29
111,Jining,0,CN,1514096529,33,35.41,116.58,46.81,18.14
112,Wangkui,0,CN,1514096530,84,46.83,126.5,5.28,8.9
113,Mount Gambier,0,AU,1514096530,52,-37.83,140.78,67.2,8.01
114,Manicore,92,BR,1514096261,93,-5.81,-61.3,74.22,2.04
115,Ponta do Sol,48,CV,1514096188,100,17.2,-25.09,71.43,23.85
116,Kiunga,8,PG,1514096531,39,-6.12,141.3,97.71,2.82
117,Mareeba,20,AU,1514095200,46,-16.99,145.42,89.6,16.11
118,Constantine,40,DZ,1514095200,100,36.36,6.61,39.2,2.24
119,Muroto,75,JP,1514093580,87,33.37,134.14,50.0,4.7
120,Piracuruca,24,BR,1514096533,97,-3.93,-41.72,72.01,2.98
121,Salalah,0,OM,1514091000,24,17.01,54.1,78.8,12.75
122,Chute-aux-Outardes,90,CA,1514095920,92,49.12,-68.38,21.2,5.82
123,Rondonopolis,92,BR,1514096534,96,-16.46,-54.64,70.21,3.09
124,Puerto Leguizamo,8,CO,1514096535,94,-0.19,-74.78,74.58,1.36
125,Puerto Ayora,76,EC,1514096535,98,-0.74,-90.35,70.66,8.12
126,Kangaatsiaq,76,GL,1514096536,100,68.31,-53.46,21.66,15.46
127,Beaverlodge,90,CA,1514095200,78,55.21,-119.43,15.8,10.29
128,Sturgeon Bay,1,US,1514094960,77,44.83,-87.38,6.8,6.93
129,Balabac,100,PH,1514096537,100,7.99,117.06,77.23,17.85
130,Sikonge,92,TZ,1514096538,100,-5.63,32.75,63.28,5.39
131,Kovdor,88,RU,1514096538,85,67.56,30.47,11.53,3.04
132,Birur,0,IN,1514096539,53,13.62,75.97,77.01,10.09
133,Puerto Narino,75,CO,1514095200,100,-3.77,-70.38,75.2,2.3
134,Bhandaria,0,BD,1514096540,73,22.49,90.06,77.68,8.01
135,Poum,0,NC,1514096540,100,-20.23,164.02,78.0,14.05
136,Timra,0,SE,1514094600,68,62.49,17.33,30.2,5.82
137,Zhanaozen,92,KZ,1514096541,96,43.35,52.85,39.61,5.5
138,Rikitea,44,PF,1514096542,100,-23.12,-134.97,77.73,9.91
139,Hermanus,8,ZA,1514096542,81,-34.42,19.24,60.54,2.98
140,Mikkeli,90,FI,1514094600,85,61.69,27.27,24.8,11.41
141,Tabas,0,IR,1514096543,48,33.6,56.92,56.98,2.98
142,Hanna,64,CA,1514096543,81,51.64,-111.93,10.05,7.74
143,Sawai Madhopur,0,IN,1514096543,81,26.02,76.35,67.96,4.61
144,Derzhavinsk,88,KZ,1514096544,92,51.1,66.31,14.5,4.5
145,Parana,0,AR,1514096544,87,-31.73,-60.52,58.06,11.32
146,Porto Torres,20,IT,1514094600,100,40.84,8.4,41.0,2.24
147,Shimoda,75,JP,1514091600,58,34.7,138.93,59.0,4.7
148,Luanda,75,AO,1514095200,78,-8.83,13.24,75.2,4.7
149,Komsomolets,24,KZ,1514096547,54,53.75,62.07,-4.99,2.86
150,Port Macquarie,40,AU,1514095200,49,-31.43,152.91,91.4,13.87
151,Huarmey,0,PE,1514096277,90,-10.07,-78.15,57.61,2.3
152,Saint-Philippe,0,RE,1514095200,62,-21.36,55.77,86.0,8.05
153,Port Lincoln,64,AU,1514096549,81,-34.72,135.86,67.11,18.14
154,Alta Floresta,80,BR,1514096549,99,-9.87,-56.08,72.78,1.97
155,Ventspils,75,LV,1514094600,100,57.39,21.56,39.2,20.8
156,Chumikan,20,RU,1514096308,82,54.72,135.31,-5.17,3.49
157,Nanortalik,0,GL,1514096552,97,60.14,-45.24,25.66,6.33
158,Maxixe,75,MZ,1514095200,79,-23.86,35.35,84.2,4.83
159,Ahipara,92,NZ,1514096583,100,-35.17,173.16,63.78,12.66
160,Liuzhou,0,CN,1514096583,66,24.32,109.41,61.89,9.35
161,Shellbrook,20,CA,1514095200,68,53.22,-106.39,-18.41,4.7
162,Tikhvin,92,RU,1514096584,92,59.64,33.53,31.29,8.9
163,Yellowknife,5,CA,1514095200,67,62.45,-114.38,-23.81,10.29
164,Cabo San Lucas,75,MX,1514094600,72,22.89,-109.91,66.2,9.17
165,Nakodar,48,IN,1514096585,72,31.13,75.48,61.89,4.61
166,Kaduna,0,NG,1514096495,52,10.52,7.44,62.65,15.12
167,Of,75,TR,1514094600,81,40.94,40.27,42.8,6.93
168,Vestmannaeyjar,76,IS,1514095996,100,63.44,-20.27,34.21,17.18
169,Manokwari,8,ID,1514096587,100,-0.87,134.08,83.4,5.73
170,Ugoofaaru,88,MV,1514096587,100,5.67,73.0,81.87,14.12
171,Albany,0,AU,1514096588,64,-35.02,117.88,75.66,11.59
172,Mirnyy,92,RU,1514096588,93,56.57,36.46,30.3,15.17
173,Sept-Iles,90,CA,1514095620,85,50.2,-66.38,19.4,17.22
174,Hobart,40,AU,1514095200,41,-42.88,147.33,60.8,16.11
175,Pyay,0,MM,1514096589,61,18.82,95.22,81.15,11.81
176,Shenavan,40,AM,1514093400,81,40.48,44.38,46.4,3.36
177,Cedro,56,BR,1514096591,94,-6.61,-39.06,69.13,3.27
178,Chara,32,RU,1514096591,57,56.9,118.26,-14.75,1.3
179,Noumea,90,NC,1514095200,57,-22.28,166.46,80.6,11.41
180,Akureyri,90,IS,1514091600,86,65.68,-18.09,28.4,6.93
181,San Carlos de Bariloche,0,AR,1514091600,68,-41.13,-71.31,50.0,19.46
182,Batagay-Alyta,32,RU,1514096140,39,67.8,130.41,-27.31,3.49
183,Thompson,5,CA,1514095200,66,55.74,-97.86,-32.81,4.7
184,Kovilj,75,RS,1514095200,81,45.23,20.02,42.8,10.29
185,Bereznik,80,RU,1514096595,84,62.86,42.71,22.56,9.13
186,Bumba,24,CD,1514096595,98,2.18,22.47,70.71,4.72
187,Kirakira,8,SB,1514096185,100,-10.46,161.92,83.76,6.73
188,Cravo Norte,68,CO,1514096596,58,6.3,-70.2,81.42,7.85
189,Craig,75,US,1514095200,78,40.52,-107.55,26.6,9.35
190,Kalmunai,12,LK,1514096597,84,7.42,81.82,82.95,8.79
191,Juneau,1,US,1514094960,92,58.3,-134.42,21.2,3.36
192,Palmas,40,BR,1514091600,88,-10.18,-48.33,75.2,2.86
193,Kiama,90,AU,1514095200,73,-34.67,150.86,71.6,18.34
194,Qaqortoq,0,GL,1514094600,42,60.72,-46.03,28.4,4.7
195,Sakaiminato,75,JP,1514091600,41,35.55,133.23,57.2,12.75
196,Belyy Yar,0,RU,1514093400,85,53.6,91.39,12.2,2.24
197,Lorengau,92,PG,1514096599,100,-2.02,147.27,82.18,5.21
198,Yurkivka,75,UA,1514093400,92,47.64,35.68,30.2,13.42
199,Henties Bay,0,NA,1514096188,100,-22.12,14.28,60.09,1.86
200,Urcos,75,PE,1514095200,76,-13.69,-71.62,50.0,1.52
201,Beringovskiy,0,RU,1514096601,100,63.05,179.32,-7.15,5.84
202,Muros,0,ES,1514095200,86,42.77,-9.06,41.0,4.7
203,East London,75,ZA,1514095200,93,-33.02,27.91,66.2,4.7
204,Sao Joao da Barra,8,BR,1514096096,99,-21.64,-41.05,77.82,26.08
205,Guadalupe y Calvo,0,MX,1514096602,88,26.09,-106.96,45.46,1.52
206,Luoyang,0,CN,1514096603,55,34.66,112.42,42.81,13.27
207,Komsomolskiy,88,RU,1514096389,91,67.55,63.78,15.85,8.08
208,Yar-Sale,80,RU,1514096604,94,66.83,70.83,18.24,19.6
209,Jamestown,92,SH,1514096431,100,-15.94,-5.72,67.15,16.28
210,Basco,80,PH,1514096634,100,20.45,121.97,75.66,17.96
211,Matara,0,LK,1514096635,99,5.95,80.54,82.18,3.71
212,Assens,88,DK,1514094600,81,56.68,10.06,48.2,18.34
213,Yazoo City,90,US,1514094660,87,32.86,-90.41,48.2,4.7
214,Novo Aripuana,92,BR,1514096636,97,-5.12,-60.38,74.13,2.26
215,Saldanha,0,ZA,1514095200,59,-33.01,17.94,66.2,9.17
216,Mahina,75,PF,1514095200,74,-17.51,-149.49,84.2,2.24
217,La Palma,12,PA,1514096637,91,8.4,-78.14,77.19,4.72
218,La Ronge,90,CA,1514095200,68,55.1,-105.3,-14.81,11.41
219,Varzob,0,TJ,1514093400,24,38.78,68.82,57.2,8.95
220,Erenhot,0,CN,1514096639,48,43.65,111.97,15.81,9.35
221,Oktyabrskiy,90,RU,1514093400,92,55.61,37.97,26.6,17.9
222,Mumford,0,GH,1514096640,90,5.26,-0.76,71.65,4.76
223,Xocotla,88,MX,1514096640,100,19.01,-97.1,46.23,1.86
224,Hulan,0,CN,1514091600,72,45.98,126.6,10.4,8.95
225,Mitsamiouli,20,KM,1514095200,74,-11.38,43.28,86.0,9.17
226,Ulaanbaatar,8,MN,1514095200,84,47.92,106.92,-2.21,4.47
227,Bogo,0,CM,1514096642,46,10.74,14.61,65.35,11.25
228,Matamoros,64,MX,1514096643,65,25.53,-103.23,54.15,2.75
229,Atar,56,MR,1514096002,36,20.52,-13.05,47.76,9.35
230,Karratha,0,AU,1514096643,22,-20.74,116.85,103.6,14.56
231,Tasiilaq,0,GL,1514094600,72,65.61,-37.64,17.6,10.29
232,Sol-Iletsk,88,RU,1514096645,91,51.16,55.0,12.21,5.84
233,Grootfontein,44,NA,1514096646,89,-19.56,18.1,66.39,4.38
234,Simao,64,CN,1514096646,78,22.76,100.79,62.07,2.53
235,Virginia Beach,90,US,1514095200,81,36.85,-75.98,62.6,18.34
236,Fairbanks,1,US,1514095080,76,64.84,-147.72,-11.21,10.65
237,Buala,32,SB,1514096350,79,-8.15,159.59,86.05,3.98
238,Kantunilkin,40,MX,1514094000,88,21.1,-87.49,73.4,3.36
239,Touros,80,BR,1514096136,98,-5.2,-35.46,76.47,7.11
240,Leshukonskoye,88,RU,1514096648,82,64.9,45.76,22.11,4.38
241,Arraial do Cabo,12,BR,1514096083,87,-22.97,-42.02,76.11,20.83
242,Trincomalee,92,LK,1514096649,97,8.58,81.23,76.74,8.01
243,Saint-Pierre,92,PM,1514096544,100,46.77,-56.17,37.5,37.98
244,Esperance,0,AU,1514096650,59,-33.86,121.89,81.1,8.57
245,Belaya Gora,68,RU,1514096650,66,68.54,146.19,-8.9,17.4
246,Tazovskiy,88,RU,1514096651,91,67.47,78.7,16.8,18.86
247,Colmar,90,FR,1514095200,93,48.08,7.36,42.8,6.93
248,Baijiantan,68,CN,1514096652,94,45.63,85.18,9.87,5.28
249,Cancun,40,MX,1514094000,88,21.17,-86.85,73.4,3.36
250,Sagua la Grande,20,CU,1514094660,93,22.81,-80.07,62.6,1.12
251,Xiantao,0,CN,1514096653,46,30.37,113.44,54.78,11.54
252,Comodoro Rivadavia,0,AR,1514091600,41,-45.87,-67.48,57.2,26.4
253,Todos Santos,75,MX,1514094600,72,23.45,-110.23,68.0,9.17
254,Celestun,0,MX,1514096654,99,20.87,-90.4,76.29,16.96
255,Popondetta,32,PG,1514096654,92,-8.77,148.24,75.03,1.7
256,Salihli,76,TR,1514096655,91,38.48,28.15,31.29,3.83
257,Cape Town,0,ZA,1514095200,59,-33.93,18.42,66.2,10.29
258,Aloleng,0,PH,1514096655,86,16.13,119.78,86.37,4.99
259,Bolgatanga,0,GH,1514096656,37,10.79,-0.85,59.01,7.85
260,Presidente Medici,80,BR,1514096656,95,-11.18,-61.9,74.31,3.76
261,Tefe,88,BR,1514096657,96,-3.35,-64.71,75.3,3.83
262,Birjand,75,IR,1514095200,39,32.86,59.22,50.0,4.7
263,Luangwa,0,ZM,1514096688,92,-12.88,28.25,70.21,6.06
264,Griffith,80,AU,1514096688,30,-34.29,146.06,88.48,11.03
265,Yeniseysk,88,RU,1514096689,88,58.45,92.17,11.85,3.87
266,Blenheim,32,CA,1514096689,82,42.33,-82.0,17.65,9.01
267,Bandrele,40,YT,1514095200,74,-12.91,45.19,86.0,16.11
268,Hualmay,36,PE,1514096690,95,-11.1,-77.61,60.18,2.75
269,Kaduqli,0,SD,1514096690,73,11.01,29.72,70.93,3.04
270,San Ramon,8,PE,1514096691,95,-14.26,-75.65,57.39,2.53
271,Port Hedland,8,AU,1514095200,63,-20.31,118.58,91.4,16.11
272,Udachnyy,44,RU,1514096692,49,66.42,112.4,-30.37,3.31
273,Pinellas Park,20,US,1514095980,100,27.84,-82.7,68.0,6.62
274,Harker Heights,1,US,1514095080,80,31.08,-97.66,39.2,4.7
275,Safranbolu,88,TR,1514096693,100,41.25,32.69,32.55,0.96
276,Khandbari,80,NP,1514096693,73,27.38,87.21,38.08,0.18
277,Harwich,40,US,1514096100,86,41.69,-70.08,44.6,9.17
278,Fort Walton Beach,90,US,1514095740,87,30.41,-86.62,60.8,13.87
279,Oswego,1,US,1514096100,92,37.17,-95.11,28.4,9.08
280,Tocopilla,20,CL,1514096695,98,-22.09,-70.2,56.85,4.05
281,Sibu,75,MY,1514091600,66,2.29,111.83,87.8,6.93
282,Tilichiki,0,RU,1514096696,86,60.47,166.1,-40.27,3.31
283,Boueni,40,YT,1514095200,74,-12.9,45.08,86.0,16.11
284,Santa Helena de Goias,56,BR,1514096697,96,-17.81,-50.6,68.55,1.86
285,Ben Tre,32,VN,1514096697,64,10.24,106.37,87.58,8.01
286,Mikhaylovka,40,KZ,1514093400,92,54.89,69.46,12.2,6.71
287,Margate,92,ZA,1514096698,100,-30.86,30.37,68.55,5.77
288,Okhotsk,0,RU,1514096699,100,59.36,143.24,-25.42,8.41
289,San Policarpo,32,PH,1514096699,100,12.18,125.51,81.06,5.73
290,Mariental,0,NA,1514095200,14,-24.63,17.97,78.8,8.05
291,Dikson,88,RU,1514096700,100,73.51,80.55,4.29,26.35
292,Hay River,20,CA,1514095200,82,60.82,-115.79,-18.41,6.93
293,Orodara,0,BF,1514091600,36,10.98,-4.92,62.6,8.05
294,Puerto Penasco,0,MX,1514096701,100,31.32,-113.53,57.16,10.87
295,Bredasdorp,8,ZA,1514095200,56,-34.53,20.04,68.0,5.82
296,Bitung,20,ID,1514095200,62,1.44,125.19,89.6,9.17
297,Makat,64,KZ,1514096703,93,47.65,53.35,20.94,7.29
298,Kerrville,1,US,1514094900,86,30.05,-99.14,37.4,8.41
299,Makakilo City,75,US,1514095020,68,21.35,-158.09,75.2,4.7
300,Talnakh,76,RU,1514096704,85,69.49,88.39,-2.65,15.79
301,Hamamatsu,20,JP,1514096704,58,34.71,137.73,56.26,3.98
302,Colares,75,PT,1514095200,93,38.8,-9.45,44.6,8.05
303,Jiancheng,24,CN,1514091600,54,30.39,104.55,57.2,2.24
304,Surt,48,LY,1514096706,100,31.21,16.59,58.65,15.84
305,Kem,92,RU,1514096706,97,64.96,34.58,22.33,8.08
306,Sterling,75,US,1514095560,80,39.0,-77.4,46.4,8.05
307,Nabire,64,ID,1514096707,85,-3.36,135.5,77.68,1.52
308,Naze,75,JP,1514091600,94,28.37,129.48,71.6,21.92
309,Hanyang,0,CN,1514096709,43,32.14,105.51,49.38,2.98
310,Lakes Entrance,64,AU,1514096709,89,-37.88,147.99,62.97,12.66
311,San Matias,20,BO,1514096709,88,-16.36,-58.4,74.58,8.08
312,Port Elizabeth,0,ZA,1514095200,68,-33.92,25.57,69.8,1.12
313,Honningsvag,32,NO,1514096711,100,70.98,25.97,21.16,5.99
314,Veraval,0,IN,1514096711,60,20.9,70.37,78.45,8.08
315,Jumla,0,NP,1514096711,49,29.28,82.18,38.31,1.3
316,Pevek,24,RU,1514096712,90,69.7,170.27,-10.93,26.98
317,Chuy,0,UY,1514096743,83,-33.69,-53.46,63.55,19.6
318,Santa Rosa,92,BO,1514096743,98,-20.7,-64.83,52.71,1.7
319,Alyangula,56,AU,1514096744,100,-13.85,136.42,86.64,10.36
320,Soyo,100,AO,1514096744,90,-6.13,12.37,76.6,3.6
321,Nador,75,MA,1514095200,100,35.17,-2.93,53.6,3.36
322,New Norfolk,40,AU,1514095200,41,-42.78,147.06,60.8,16.11
323,Sioux Lookout,90,CA,1514095200,77,50.1,-91.92,-0.41,5.82
324,Alushta,0,UA,1514096746,100,44.68,34.41,33.63,8.52
325,Apatity,80,RU,1514096747,82,67.57,33.4,6.58,2.37
326,Turukhansk,80,RU,1514096747,79,65.8,87.96,4.51,18.3
327,Aklavik,5,CA,1514095200,66,68.22,-135.01,12.2,10.29
328,Sayville,1,US,1514094960,81,40.74,-73.08,42.8,14.99
329,Sergeyevka,48,KZ,1514096748,80,53.88,67.42,8.43,7.34
330,Chivilcoy,0,AR,1514096748,65,-34.9,-60.02,57.39,8.01
331,Barranca,80,PE,1514096749,100,-10.75,-77.76,64.0,7.78
332,Temozon,20,MX,1514096749,82,20.8,-88.22,71.83,3.6
333,Yeppoon,0,AU,1514095200,36,-23.13,150.74,91.4,8.05
334,Bubaque,8,GW,1514096750,100,11.28,-15.83,71.83,22.39
335,Machachi,75,EC,1514095200,87,-0.51,-78.57,53.6,2.24
336,Ust-Kuyga,56,RU,1514096751,78,70.0,135.55,-25.96,6.89
337,Labuhan,36,ID,1514096751,64,-2.54,115.51,87.72,4.21
338,Barras,24,BR,1514096752,97,-4.24,-42.29,72.01,2.98
339,Aksay,80,KZ,1514096752,90,51.17,53.01,15.58,8.12
340,Ocos,40,GT,1514094000,100,14.51,-92.19,71.6,3.71
341,New Castle,40,US,1514094960,92,41.0,-80.35,32.0,3.36
342,Carnarvon,0,AU,1514096753,73,-24.87,113.63,82.59,20.65
343,Mosbach,90,DE,1514092800,93,49.35,9.15,41.0,14.99
344,Itaituba,92,BR,1514096754,95,-4.26,-55.99,73.86,2.75
345,Namtsy,36,RU,1514096755,0,62.72,129.66,-46.07,3.04
346,Avarua,40,CK,1514095200,73,-21.21,-159.78,75.2,3.36
347,Hovd,24,MN,1514096756,64,48.01,91.64,5.55,2.48
348,Sucre,92,BO,1514096756,97,-19.05,-65.26,48.25,2.37
349,Leh,80,IN,1514096756,76,34.16,77.58,-8.09,1.19
350,Tambovka,88,RU,1514096757,92,47.32,47.38,19.0,3.49
351,Dickson,90,US,1514094960,86,36.08,-87.39,39.2,5.82
352,Richards Bay,36,ZA,1514096758,93,-28.77,32.06,72.73,8.52
353,Hotaka,0,JP,1514091600,40,36.34,137.88,51.8,18.34
354,Flin Flon,44,CA,1514096758,68,54.77,-101.88,-10.07,3.98
355,Waseca,1,US,1514096100,84,44.08,-93.51,10.4,4.7
356,Berlevag,20,NO,1514096759,100,70.86,29.09,7.62,4.09
357,Grand Gaube,75,MU,1514095200,65,-20.01,57.66,82.4,6.93
358,Vaini,90,TO,1514095200,100,-21.2,-175.2,75.2,22.73
359,Kozhva,80,RU,1514096761,91,65.11,57.05,20.8,5.06
360,Quatre Cocos,75,MU,1514095200,65,-20.21,57.76,82.4,6.93
361,Forio,0,IT,1514094900,62,40.73,13.86,51.8,4.27
362,Banquero,44,PH,1514096762,100,17.02,121.78,78.58,3.38
363,Havoysund,56,NO,1514094600,86,71.0,24.66,26.6,3.36
364,Ucluelet,68,CA,1514096763,99,48.94,-125.55,19.86,1.97
365,Guiratinga,92,BR,1514096764,97,-16.35,-53.76,69.9,2.71
366,Pokaran,0,IN,1514096764,62,26.93,71.92,68.37,4.72
367,Chikwawa,88,MW,1514096764,91,-16.03,34.79,76.51,4.21
368,Bluff,8,NZ,1514096765,74,-46.6,168.33,68.95,17.07
369,Ylivieska,80,FI,1514096765,79,64.07,24.53,23.05,8.63
370,Kodiak,90,US,1514094780,79,39.95,-94.76,21.2,9.17
371,Monywa,0,MM,1514096766,78,22.12,95.13,76.56,6.55
